Season,Name,WAR,playerid
2006,Brian Tallet,0,1646
2002,Mark Hendrickson,0.7,1574
2015,Marcus Stroman,0.4,13431
1998,Roy Halladay,0.3,1303
1997,Roger Clemens,10.7,815
2015,David Price,2.7,3184
1998,Kelvim Escobar,2.1,1298
2005,Roy Halladay,3.8,1303
1997,Omar Daal,0.5,646
2004,Gustavo Chacin,0.4,2060
2010,Shawn Hill,0.5,1882
1992,Juan Guzman,5.5,1005162
1998,Roger Clemens,8.2,815
1992,David Cone,0.9,1680
2016,Francisco Liriano,0.8,3201
2001,Roy Halladay,4,1303
2009,Roy Halladay,7,1303
2008,Roy Halladay,6.6,1303
2011,Ricky Romero,2.2,3403
1996,Juan Guzman,4.6,1005162
2002,Roy Halladay,6.8,1303
2012,Brandon Morrow,2.4,9346
2016,Aaron Sanchez,3.9,11490
2001,Kelvim Escobar,1.9,1298
2016,J.A. Happ,3.2,7410
2006,Roy Halladay,5.1,1303
1995,Woody Williams,0.2,1190
1996,Pat Hentgen,6,145
2003,Roy Halladay,7,1303
2015,Marco Estrada,1.8,1118
2014,Marcus Stroman,3,13431
1995,David Cone,2.9,1680
2014,Mark Buehrle,3.1,225
2008,Shaun Marcum,1.8,6204
1994,Pat Hentgen,3.5,145
2003,Josh Towers,0.7,1489
2016,Marco Estrada,3,1118
1992,Jimmy Key,2.7,1006885
2011,Henderson Alvarez,0.8,5669
2008,Jesse Litsch,2.2,3688
2000,Joey Hamilton,0.5,328
2015,Aaron Sanchez,0,11490
2013,Chad Jenkins,0.1,10326
2000,Frank Castillo,2,180
2000,Esteban Loaiza,1.9,1310
1995,Al Leiter,3,883
2010,Shaun Marcum,3.6,6204
2009,Marc Rzepczynski,0.8,6612
1997,Pat Hentgen,3.8,145
2004,Dave Bush,1.9,4635
2005,Josh Towers,3.6,1489
2014,R.A. Dickey,1.7,1245
2007,Roy Halladay,5.1,1303
2005,Gustavo Chacin,2.9,2060
2010,Ricky Romero,3.7,3403
2007,A.J. Burnett,2.3,512
2015,Mark Buehrle,2.1,225
2007,Jesse Litsch,0.6,3688
2015,Daniel Norris,0.1,13475
2016,Drew Hutchison,-0.1,10732
1993,Pat Hentgen,2.1,145
2015,R.A. Dickey,2,1245
2007,Shaun Marcum,1.2,6204
2003,Kelvim Escobar,3.3,1298
2012,Chad Jenkins,0,10326
1999,Roy Halladay,0.6,1303
2006,A.J. Burnett,2.9,512
1993,Juan Guzman,4.3,1005162
2008,Scott Richmond,0.8,4307
2008,A.J. Burnett,5.1,512
1992,Jack Morris,3.7,1009211
2004,Ted Lilly,3,833
2007,Dustin McGowan,3.4,8600
2001,Chris Carpenter,2.3,1292
2000,David Wells,6.2,855
2014,J.A. Happ,1.1,7410
2013,Mark Buehrle,2.3,225
2004,Roy Halladay,2.8,1303
2013,R.A. Dickey,1.7,1245
2010,Brett Cecil,2.5,2660
2001,Brandon Lyon,1.1,1312
2009,Ricky Romero,2.3,3403
2005,Scott Downs,1.2,773
2006,Ted Lilly,2.1,833
2001,Chris Michalak,0.6,1415
1997,Woody Williams,1.4,1190
2008,Dustin McGowan,2.2,8600
2016,Marcus Stroman,3.6,13431
1999,Chris Carpenter,2.9,1292
1998,Juan Guzman,1.5,1005162
2013,Todd Redmond,0.7,9943
1994,Todd Stottlemyre,1.7,75
2005,Dave Bush,1.2,4635
2009,Robert Ray,0.2,3359
1993,Dave Stewart,0.9,1012519
1998,Woody Williams,1.3,1190
2016,R.A. Dickey,1,1245
2014,Drew Hutchison,2.3,10732
2010,Brandon Morrow,3.6,9346
1993,Al Leiter,0.6,883
2004,Ryan Glynn,-0.1,686
2012,Carlos Villanueva,0.8,4138
1992,Todd Stottlemyre,1.4,75
2013,J.A. Happ,1.1,7410
2012,J.A. Happ,1.1,7410
2001,Steve Parris,0.1,1316
2012,Drew Hutchison,0.5,10732
1996,Woody Williams,0.8,1190
2011,Jesse Litsch,0.3,3688
1998,Chris Carpenter,2.6,1292
2012,Kyle Drabek,-0.2,4359
2003,Doug Davis,0.6,1244
2011,Brandon Morrow,3.2,9346
2006,Shaun Marcum,0.3,6204
2011,Brett Cecil,0.3,2660
2010,Kyle Drabek,0.2,4359
2002,Pete Walker,1.2,1325
1999,Pat Hentgen,1.9,145
2000,Pete Munro,0.2,1546
2012,Aaron Laffey,-0.1,6248
1999,David Wells,3.9,855
2012,Henderson Alvarez,0.3,5669
2011,Zach Stewart,0.1,7397
2015,Felix Doubront,0.4,1478
2004,Miguel Batista,1.6,46
2013,Esmil Rogers,0.4,6317
1995,Paul Menhart,0.7,1008765
1996,Scott Brow,-0.1,1001570
1993,Todd Stottlemyre,2.9,75
1996,Huck Flener,0.7,1004148
1997,Juan Guzman,-0.2,1005162
2006,Ty Taubenheim,0.2,5561
2000,Lance Painter,0.3,1675
1997,Chris Carpenter,1.2,1292
2010,Marc Rzepczynski,0.4,6612
2006,Gustavo Chacin,-0.4,2060
2014,Dustin McGowan,0,8600
1994,Al Leiter,2.5,883
2001,Esteban Loaiza,2,1310
2008,John Parrish,0.2,160
2004,Josh Towers,1.1,1489
1995,Pat Hentgen,2.5,145
2011,Carlos Villanueva,1.1,4138
1998,Pat Hentgen,0.7,145
2006,Casey Janssen,0.9,7355
2005,Pete Walker,-0.1,1325
2007,Josh Towers,0.6,1489
2002,Chris Carpenter,0.5,1292
2010,Brad Mills,0,4420
2000,Steve Trachsel,0.4,898
2002,Justin Miller,0.5,1313
2009,Brett Cecil,0.2,2660
1996,Luis Andujar,0,1000267
2011,Jo-Jo Reyes,0.9,5559
2014,Daniel Norris,0,13475
1996,Erik Hanson,3,1005333
2009,Brian Tallet,1.5,1646
2000,Kelvim Escobar,1.7,1298
1995,Jeff Ware,0.2,1013626
2015,Drew Hutchison,1.6,10732
2013,Ramon Ortiz,-0.3,27
2003,Mark Hendrickson,1.7,1574
2008,David Purcey,0.5,8360
2005,Ted Lilly,0.5,833
1997,Robert Person,0.9,966
2009,Scott Richmond,0.6,4307
2010,Brian Tallet,-0.2,1646
2007,Gustavo Chacin,-0.1,2060
1992,Pat Hentgen,0.1,145
2013,Brandon Morrow,-0.2,9346
1994,Juan Guzman,1.8,1005162
1992,Dave Stieb,0.3,1012532
2011,Kyle Drabek,-0.2,4359
2002,Esteban Loaiza,2.3,1310
2012,Brett Cecil,0,2660
2003,Cory Lidle,2.3,926
2012,Ricky Romero,0.4,3403
2010,Jesse Litsch,0,3688
2007,Tomo Ohka,-0.1,788
1999,Kelvim Escobar,2.2,1298
2004,Justin Miller,0,1313
2002,Luke Prokopec,-0.1,1320
1994,Dave Stewart,0.8,1012519
2001,Joey Hamilton,1.4,328
2014,Brandon Morrow,0.2,9346
1995,Edwin Hurtado,-0.1,1006227
2002,Steve Parris,0.3,1316
1993,Scott Brow,0,1001570
1998,Erik Hanson,-0.3,1005333
2006,Dustin McGowan,0.1,8600
2014,Liam Hendriks,-0.2,3548
2003,Tanyon Sturtze,-0.2,1230
2003,Pete Walker,-0.1,1325
2009,David Purcey,0.3,8360
1993,Jack Morris,1.7,1009211
2013,Josh Johnson,0.4,4567
2009,Casey Janssen,0.1,7355
2001,Pasqual Coco,0.1,1294
1996,Paul Quantrill,0.3,669
1995,Juan Guzman,1.8,1005162
2011,Dustin McGowan,-0.1,8600
1999,Joey Hamilton,0.9,328
1992,David Wells,0,855
2010,Dana Eveland,0,5508
2000,Chris Carpenter,0.3,1292
2013,Aaron Laffey,-0.1,6248
2015,Todd Redmond,0,9943
2002,Brandon Lyon,-0.4,1312
2004,Pat Hentgen,-0.5,145
2011,Luis Perez,0,6389
1995,Danny Darwin,0,1002996
1998,Dave Stieb,-0.3,1012532
1997,Erik Hanson,0,1005333
2013,Chien-Ming Wang,-0.1,2074
1996,Frank Viola,-0.2,1013435
1995,Giovanni Carrara,-0.3,643
1997,Luis Andujar,-0.1,1000267
1994,Brad Cornett,0.4,1002631
2015,Scott Copeland,0.3,10706
2005,Dustin McGowan,-0.2,8600
1996,Marty Janzen,-0.5,1006362
2011,Brad Mills,-0.1,4420
2007,Josh Banks,0,5570
2002,Mike Smith,-0.2,1479
2000,Pasqual Coco,-0.1,1294
2006,Francisco Rosario,0.1,2091
2007,Ty Taubenheim,-0.1,5561
2009,Jesse Litsch,-0.2,3688
2012,Joel Carreno,-0.4,2746
2006,Josh Towers,-0.6,1489
2006,Scott Downs,0,773
2002,Scott Eyre,0.1,1300
2004,Jason Kershner,0,1566
2003,Corey Thurman,-0.2,1324
2012,Jesse Chavez,0,5448
2004,Sean Douglass,-0.2,133
1993,Doug Linton,0,1662
1992,Doug Linton,-0.4,1662
2000,Roy Halladay,-0.3,1303
1999,Paul Spoljaric,-0.1,1012349
2005,Chad Gaudin,-0.2,1783
2013,Ricky Romero,-0.2,3403
2002,Brian Cooper,-0.4,1295
2009,Brad Mills,-0.3,4420
2009,Brian Burres,0.1,3425
1999,Pete Munro,-0.3,1546
2015,Matt Boyd,-0.4,15440
2002,Corey Thurman,0,1324
1996,Jeff Ware,-0.4,1013626
2007,Victor Zambrano,-0.5,1237
1997,Huck Flener,-0.1,1004148
2000,Clayton Andrews,-0.3,1000247
1994,Paul Spoljaric,-0.2,1012349
2003,John Wasdin,-0.2,1768
2013,Sean Nolin,-0.1,11341